task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
31	2e/c9da25	3892625	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (17)	CACHED	0	2024-10-19 07:56:12.110	3.5s	3.2s	113.9%	9.2 MB	16.7 MB	183 MB	139.3 MB
1	21/dc9c20	3893279	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (1)	CACHED	0	2024-10-19 07:56:13.528	4.3s	3.7s	124.9%	9.2 MB	16.7 MB	221.5 MB	169.5 MB
39	d7/af20fb	3895602	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (18)	CACHED	0	2024-10-19 07:56:17.763	3s	2.5s	134.2%	113.1 MB	118.3 MB	174.3 MB	132.3 MB
21	cf/d0b00d	3898745	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (9)	CACHED	0	2024-10-19 07:56:23.970	5.8s	5.4s	130.9%	359.6 MB	364.7 MB	297.2 MB	225.3 MB
24	39/ac1924	3897024	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (11)	CACHED	0	2024-10-19 07:56:20.294	3.6s	3.1s	131.9%	146.8 MB	152 MB	198.4 MB	151.2 MB
6	f2/e8b6c6	3900068	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (3)	CACHED	0	2024-10-19 07:56:26.659	10.3s	9.5s	120.1%	681.4 MB	686.6 MB	431 MB	320.1 MB
41	1f/486662	3901623	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (20)	CACHED	0	2024-10-19 07:56:29.779	3.2s	2.8s	127.8%	130.7 MB	135.9 MB	174.2 MB	131.6 MB
14	d6/e20bac	3895614	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (6)	CACHED	0	2024-10-19 07:56:17.790	5.6s	5.1s	132.2%	343 MB	348.4 MB	284.1 MB	214.4 MB
37	71/250b14	3896800	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (17)	CACHED	0	2024-10-19 07:56:19.839	3.2s	2.8s	129.6%	129.1 MB	134.2 MB	182.9 MB	138.8 MB
4	50/f5ec40	3891504	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (2)	CACHED	0	2024-10-19 07:56:10.568	4.4s	4.1s	134.4%	241.5 MB	246.8 MB	252.9 MB	193 MB
12	bf/d93c61	3889561	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (5)	CACHED	0	2024-10-19 07:56:03.967	8.1s	4.8s	128.5%	289.1 MB	294.5 MB	273.4 MB	207.9 MB
27	f7/268f8b	3905089	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (12)	CACHED	0	2024-10-19 07:56:37.108	4s	3.2s	130.8%	123.3 MB	128.3 MB	196.6 MB	149.2 MB
23	39/8f0cb2	3903039	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (10)	CACHED	0	2024-10-19 07:56:32.994	4.4s	3.8s	134.0%	222.5 MB	227.7 MB	244.4 MB	186.2 MB
17	76/759c97	3898621	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (7)	CACHED	0	2024-10-19 07:56:23.856	5.4s	5s	134.4%	331 MB	336.1 MB	286.1 MB	216.8 MB
29	8f/d1d2ae	3889596	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (14)	CACHED	0	2024-10-19 07:56:04.011	7.1s	3.8s	130.7%	233.2 MB	238.6 MB	207.7 MB	155.8 MB
