"","sample","healthy","nbl","tool","unknown","reference","DMRtool","direction","top","collapse_approach","min_cpgs","min_counts"
"475","20M_mix_Bmap_CLBGA_1-8_rep59",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"476","20M_mix_Bmap_CLBGA_1-8_rep6",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"477","20M_mix_Bmap_CLBGA_1-8_rep60",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"478","20M_mix_Bmap_CLBGA_1-8_rep7",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"479","20M_mix_Bmap_CLBGA_1-8_rep8",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"480","20M_mix_Bmap_CLBGA_1-8_rep9",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"481","20M_mix_Bmap_CLBGA_10_rep1",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"482","20M_mix_Bmap_CLBGA_10_rep10",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"483","20M_mix_Bmap_CLBGA_10_rep11",0.076788669,0.923211331,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"484","20M_mix_Bmap_CLBGA_10_rep12",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"485","20M_mix_Bmap_CLBGA_10_rep13",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"486","20M_mix_Bmap_CLBGA_10_rep14",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"487","20M_mix_Bmap_CLBGA_10_rep15",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"488","20M_mix_Bmap_CLBGA_10_rep16",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"489","20M_mix_Bmap_CLBGA_10_rep17",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"490","20M_mix_Bmap_CLBGA_10_rep18",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"491","20M_mix_Bmap_CLBGA_10_rep19",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"492","20M_mix_Bmap_CLBGA_10_rep2",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"493","20M_mix_Bmap_CLBGA_10_rep20",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"494","20M_mix_Bmap_CLBGA_10_rep21",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"495","20M_mix_Bmap_CLBGA_10_rep22",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"496","20M_mix_Bmap_CLBGA_10_rep23",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"497","20M_mix_Bmap_CLBGA_10_rep24",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"498","20M_mix_Bmap_CLBGA_10_rep25",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"499","20M_mix_Bmap_CLBGA_10_rep26",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"500","20M_mix_Bmap_CLBGA_10_rep27",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"501","20M_mix_Bmap_CLBGA_10_rep28",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"502","20M_mix_Bmap_CLBGA_10_rep29",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"503","20M_mix_Bmap_CLBGA_10_rep3",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"504","20M_mix_Bmap_CLBGA_10_rep30",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"505","20M_mix_Bmap_CLBGA_10_rep31",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"506","20M_mix_Bmap_CLBGA_10_rep32",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"507","20M_mix_Bmap_CLBGA_10_rep33",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"508","20M_mix_Bmap_CLBGA_10_rep34",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"509","20M_mix_Bmap_CLBGA_10_rep35",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"510","20M_mix_Bmap_CLBGA_10_rep36",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"511","20M_mix_Bmap_CLBGA_10_rep37",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"512","20M_mix_Bmap_CLBGA_10_rep38",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"513","20M_mix_Bmap_CLBGA_10_rep39",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"514","20M_mix_Bmap_CLBGA_10_rep4",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"515","20M_mix_Bmap_CLBGA_10_rep40",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"516","20M_mix_Bmap_CLBGA_10_rep41",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"517","20M_mix_Bmap_CLBGA_10_rep42",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"518","20M_mix_Bmap_CLBGA_10_rep43",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"519","20M_mix_Bmap_CLBGA_10_rep44",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"520","20M_mix_Bmap_CLBGA_10_rep45",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"521","20M_mix_Bmap_CLBGA_10_rep46",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"522","20M_mix_Bmap_CLBGA_10_rep47",0.021889651,0.978110349,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"523","20M_mix_Bmap_CLBGA_10_rep48",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"524","20M_mix_Bmap_CLBGA_10_rep49",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"525","20M_mix_Bmap_CLBGA_10_rep5",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"526","20M_mix_Bmap_CLBGA_10_rep50",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"527","20M_mix_Bmap_CLBGA_10_rep51",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"528","20M_mix_Bmap_CLBGA_10_rep52",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"529","20M_mix_Bmap_CLBGA_10_rep53",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"530","20M_mix_Bmap_CLBGA_10_rep54",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"531","20M_mix_Bmap_CLBGA_10_rep55",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"532","20M_mix_Bmap_CLBGA_10_rep56",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"533","20M_mix_Bmap_CLBGA_10_rep57",0.007139126,0.992860874,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"534","20M_mix_Bmap_CLBGA_10_rep58",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"535","20M_mix_Bmap_CLBGA_10_rep59",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"536","20M_mix_Bmap_CLBGA_10_rep6",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"537","20M_mix_Bmap_CLBGA_10_rep60",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"538","20M_mix_Bmap_CLBGA_10_rep7",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"539","20M_mix_Bmap_CLBGA_10_rep8",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"540","20M_mix_Bmap_CLBGA_10_rep9",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"541","20M_mix_Bmap_CLBGA_100_rep1",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"542","20M_mix_Bmap_CLBGA_100_rep10",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"543","20M_mix_Bmap_CLBGA_100_rep11",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"544","20M_mix_Bmap_CLBGA_100_rep12",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"545","20M_mix_Bmap_CLBGA_100_rep13",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"546","20M_mix_Bmap_CLBGA_100_rep14",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"547","20M_mix_Bmap_CLBGA_100_rep15",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"548","20M_mix_Bmap_CLBGA_100_rep16",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"549","20M_mix_Bmap_CLBGA_100_rep17",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"550","20M_mix_Bmap_CLBGA_100_rep18",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"551","20M_mix_Bmap_CLBGA_100_rep19",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"552","20M_mix_Bmap_CLBGA_100_rep2",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"553","20M_mix_Bmap_CLBGA_100_rep20",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"554","20M_mix_Bmap_CLBGA_100_rep21",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"555","20M_mix_Bmap_CLBGA_100_rep22",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"556","20M_mix_Bmap_CLBGA_100_rep23",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"557","20M_mix_Bmap_CLBGA_100_rep24",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"558","20M_mix_Bmap_CLBGA_100_rep25",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"559","20M_mix_Bmap_CLBGA_100_rep26",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"560","20M_mix_Bmap_CLBGA_100_rep27",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"561","20M_mix_Bmap_CLBGA_100_rep28",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"562","20M_mix_Bmap_CLBGA_100_rep29",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"563","20M_mix_Bmap_CLBGA_100_rep3",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"564","20M_mix_Bmap_CLBGA_100_rep30",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"565","20M_mix_Bmap_CLBGA_100_rep31",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"566","20M_mix_Bmap_CLBGA_100_rep32",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"567","20M_mix_Bmap_CLBGA_100_rep33",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"568","20M_mix_Bmap_CLBGA_100_rep34",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"569","20M_mix_Bmap_CLBGA_100_rep35",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"570","20M_mix_Bmap_CLBGA_100_rep36",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"571","20M_mix_Bmap_CLBGA_100_rep37",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"572","20M_mix_Bmap_CLBGA_100_rep38",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"573","20M_mix_Bmap_CLBGA_100_rep39",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"574","20M_mix_Bmap_CLBGA_100_rep4",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"575","20M_mix_Bmap_CLBGA_100_rep40",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"576","20M_mix_Bmap_CLBGA_100_rep41",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"577","20M_mix_Bmap_CLBGA_100_rep42",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"578","20M_mix_Bmap_CLBGA_100_rep43",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"579","20M_mix_Bmap_CLBGA_100_rep44",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"580","20M_mix_Bmap_CLBGA_100_rep45",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"581","20M_mix_Bmap_CLBGA_100_rep46",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"582","20M_mix_Bmap_CLBGA_100_rep47",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"583","20M_mix_Bmap_CLBGA_100_rep48",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"584","20M_mix_Bmap_CLBGA_100_rep49",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"585","20M_mix_Bmap_CLBGA_100_rep5",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"586","20M_mix_Bmap_CLBGA_100_rep50",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"587","20M_mix_Bmap_CLBGA_100_rep51",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"588","20M_mix_Bmap_CLBGA_100_rep52",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"589","20M_mix_Bmap_CLBGA_100_rep53",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"590","20M_mix_Bmap_CLBGA_100_rep54",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"591","20M_mix_Bmap_CLBGA_100_rep55",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"592","20M_mix_Bmap_CLBGA_100_rep56",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"593","20M_mix_Bmap_CLBGA_100_rep57",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"594","20M_mix_Bmap_CLBGA_100_rep58",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"595","20M_mix_Bmap_CLBGA_100_rep59",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"596","20M_mix_Bmap_CLBGA_100_rep6",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"597","20M_mix_Bmap_CLBGA_100_rep60",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"598","20M_mix_Bmap_CLBGA_100_rep7",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"599","20M_mix_Bmap_CLBGA_100_rep8",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"600","20M_mix_Bmap_CLBGA_100_rep9",1,0,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"601","20M_mix_Bmap_CLBGA_2-5_rep1",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"602","20M_mix_Bmap_CLBGA_2-5_rep10",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"603","20M_mix_Bmap_CLBGA_2-5_rep11",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"604","20M_mix_Bmap_CLBGA_2-5_rep12",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"605","20M_mix_Bmap_CLBGA_2-5_rep13",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"606","20M_mix_Bmap_CLBGA_2-5_rep14",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"607","20M_mix_Bmap_CLBGA_2-5_rep15",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"608","20M_mix_Bmap_CLBGA_2-5_rep16",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"609","20M_mix_Bmap_CLBGA_2-5_rep17",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"610","20M_mix_Bmap_CLBGA_2-5_rep18",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"611","20M_mix_Bmap_CLBGA_2-5_rep19",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"612","20M_mix_Bmap_CLBGA_2-5_rep2",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"613","20M_mix_Bmap_CLBGA_2-5_rep20",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"614","20M_mix_Bmap_CLBGA_2-5_rep21",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"615","20M_mix_Bmap_CLBGA_2-5_rep22",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"616","20M_mix_Bmap_CLBGA_2-5_rep23",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"617","20M_mix_Bmap_CLBGA_2-5_rep24",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"618","20M_mix_Bmap_CLBGA_2-5_rep25",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"619","20M_mix_Bmap_CLBGA_2-5_rep26",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"620","20M_mix_Bmap_CLBGA_2-5_rep27",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"621","20M_mix_Bmap_CLBGA_2-5_rep28",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"622","20M_mix_Bmap_CLBGA_2-5_rep29",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"623","20M_mix_Bmap_CLBGA_2-5_rep3",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"624","20M_mix_Bmap_CLBGA_2-5_rep30",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"625","20M_mix_Bmap_CLBGA_2-5_rep31",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"626","20M_mix_Bmap_CLBGA_2-5_rep32",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"627","20M_mix_Bmap_CLBGA_2-5_rep33",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"628","20M_mix_Bmap_CLBGA_2-5_rep34",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"629","20M_mix_Bmap_CLBGA_2-5_rep35",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"630","20M_mix_Bmap_CLBGA_2-5_rep36",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"631","20M_mix_Bmap_CLBGA_2-5_rep37",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"632","20M_mix_Bmap_CLBGA_2-5_rep38",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"633","20M_mix_Bmap_CLBGA_2-5_rep39",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"634","20M_mix_Bmap_CLBGA_2-5_rep4",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"635","20M_mix_Bmap_CLBGA_2-5_rep40",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"636","20M_mix_Bmap_CLBGA_2-5_rep41",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"637","20M_mix_Bmap_CLBGA_2-5_rep42",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"638","20M_mix_Bmap_CLBGA_2-5_rep43",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"639","20M_mix_Bmap_CLBGA_2-5_rep44",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"640","20M_mix_Bmap_CLBGA_2-5_rep45",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"641","20M_mix_Bmap_CLBGA_2-5_rep46",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"642","20M_mix_Bmap_CLBGA_2-5_rep47",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"643","20M_mix_Bmap_CLBGA_2-5_rep48",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"644","20M_mix_Bmap_CLBGA_2-5_rep49",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"645","20M_mix_Bmap_CLBGA_2-5_rep5",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"646","20M_mix_Bmap_CLBGA_2-5_rep50",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"647","20M_mix_Bmap_CLBGA_2-5_rep51",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"648","20M_mix_Bmap_CLBGA_2-5_rep52",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"649","20M_mix_Bmap_CLBGA_2-5_rep53",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"650","20M_mix_Bmap_CLBGA_2-5_rep54",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"651","20M_mix_Bmap_CLBGA_2-5_rep55",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"652","20M_mix_Bmap_CLBGA_2-5_rep56",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"653","20M_mix_Bmap_CLBGA_2-5_rep57",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"654","20M_mix_Bmap_CLBGA_2-5_rep58",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"655","20M_mix_Bmap_CLBGA_2-5_rep59",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"656","20M_mix_Bmap_CLBGA_2-5_rep6",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"657","20M_mix_Bmap_CLBGA_2-5_rep60",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
