"","sample","healthy","nbl","tool","unknown","reference","DMRtool","direction","top","collapse_approach","min_cpgs","min_counts"
"42","20M_mix_Bmap_CLBGA_0_rep47",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"43","20M_mix_Bmap_CLBGA_0_rep48",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"44","20M_mix_Bmap_CLBGA_0_rep49",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"45","20M_mix_Bmap_CLBGA_0_rep5",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"46","20M_mix_Bmap_CLBGA_0_rep50",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"47","20M_mix_Bmap_CLBGA_0_rep51",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"48","20M_mix_Bmap_CLBGA_0_rep52",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"49","20M_mix_Bmap_CLBGA_0_rep53",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"50","20M_mix_Bmap_CLBGA_0_rep54",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"51","20M_mix_Bmap_CLBGA_0_rep55",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"52","20M_mix_Bmap_CLBGA_0_rep56",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"53","20M_mix_Bmap_CLBGA_0_rep57",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"54","20M_mix_Bmap_CLBGA_0_rep58",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"55","20M_mix_Bmap_CLBGA_0_rep59",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"56","20M_mix_Bmap_CLBGA_0_rep6",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"57","20M_mix_Bmap_CLBGA_0_rep60",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"58","20M_mix_Bmap_CLBGA_0_rep7",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"59","20M_mix_Bmap_CLBGA_0_rep8",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"60","20M_mix_Bmap_CLBGA_0_rep9",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"61","20M_mix_Bmap_CLBGA_0-01_rep1",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"62","20M_mix_Bmap_CLBGA_0-01_rep10",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"63","20M_mix_Bmap_CLBGA_0-01_rep11",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"64","20M_mix_Bmap_CLBGA_0-01_rep12",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"65","20M_mix_Bmap_CLBGA_0-01_rep13",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"66","20M_mix_Bmap_CLBGA_0-01_rep14",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"67","20M_mix_Bmap_CLBGA_0-01_rep15",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"68","20M_mix_Bmap_CLBGA_0-01_rep16",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"69","20M_mix_Bmap_CLBGA_0-01_rep17",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"70","20M_mix_Bmap_CLBGA_0-01_rep18",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"71","20M_mix_Bmap_CLBGA_0-01_rep19",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"72","20M_mix_Bmap_CLBGA_0-01_rep2",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"73","20M_mix_Bmap_CLBGA_0-01_rep20",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"74","20M_mix_Bmap_CLBGA_0-01_rep21",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"75","20M_mix_Bmap_CLBGA_0-01_rep22",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"76","20M_mix_Bmap_CLBGA_0-01_rep23",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"77","20M_mix_Bmap_CLBGA_0-01_rep24",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"78","20M_mix_Bmap_CLBGA_0-01_rep25",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"79","20M_mix_Bmap_CLBGA_0-01_rep26",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"80","20M_mix_Bmap_CLBGA_0-01_rep27",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"81","20M_mix_Bmap_CLBGA_0-01_rep28",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
