sample,LMC1,LMC2,tool,V1,V2,min_cpgs,min_counts
20M_mix_Bmap_CLBGA_0-01_rep19,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep2,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep20,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep21,5.84675292274583e-05,0.999941532470773,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep22,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep23,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep24,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep25,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep26,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep27,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep28,3.19527531931123e-05,0.999968047246807,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep29,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep3,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep30,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep31,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep32,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep33,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep34,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep35,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep36,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep37,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep38,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep39,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep4,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep40,0.0002314282140568,0.999768571785943,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep41,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep42,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep43,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep44,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep45,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep46,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep47,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep48,0.0001273159291173,0.999872684070883,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep49,0.0002421562218172,0.999757843778183,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep5,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep50,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep51,0.0003274399970319,0.999672560002968,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep52,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep53,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep54,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep55,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep56,0.0002136230155031,0.999786376984497,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep57,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep58,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep59,2.84157414493301e-05,0.999971584258551,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep6,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep60,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep7,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep8,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-01_rep9,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep1,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep10,0.0002230739722979,0.999776926027702,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep11,0.0009247016374854,0.999075298362515,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep12,0.0007108859047551,0.999289114095245,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep13,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep14,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep15,0.0003471127671847,0.999652887232815,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep16,0.0002804071962452,0.999719592803755,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep17,0.000926753790785,0.999073246209215,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep18,0.0002991235943917,0.999700876405608,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep19,0.000684579251019,0.999315420748981,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep2,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep20,0.0003688032245931,0.999631196775407,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep21,0.0011026943576489,0.998897305642351,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep22,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep23,0.0004806951962035,0.999519304803796,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep24,0.0002923825628869,0.999707617437113,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep25,0.0008289186703964,0.999171081329604,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep26,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep27,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep28,0.0012327663533799,0.99876723364662,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep29,0.0002671113248266,0.999732888675173,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep3,9.21614700868175e-05,0.999907838529913,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep30,0.0001155004796944,0.999884499520306,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep31,0.0010463054798697,0.99895369452013,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep32,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep33,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep34,0.0005003601627342,0.999499639837266,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep35,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep36,3.6223129267319e-05,0.999963776870733,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep37,0.0002084892298002,0.9997915107702,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep38,0.0009800299115499,0.99901997008845,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep39,0.0008895464668586,0.999110453533141,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep4,0.0004756921174398,0.99952430788256,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep40,0.0013586555158452,0.998641344484155,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep41,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep42,8.47179354702578e-05,0.99991528206453,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep43,0.0002266084260009,0.999773391573999,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep44,0.0011239508053384,0.998876049194662,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep45,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep46,0.000114244434937,0.999885755565063,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep47,0.0001123937477435,0.999887606252256,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep48,0.0013568120542914,0.998643187945709,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep49,0.0013225084542482,0.998677491545752,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep5,0.0010701816777635,0.998929818322236,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep50,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep51,0.0013604098057006,0.998639590194299,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep52,0.0002490975447278,0.999750902455272,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep53,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep54,0.0008687236414986,0.999131276358501,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep55,0.0008348002005308,0.999165199799469,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep56,0.0012586567070743,0.998741343292926,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep57,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep58,0.0001875829729954,0.999812417027004,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep59,0.0012230830880105,0.998776916911989,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep6,0.0001831247331533,0.999816875266847,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep60,0.0005987204650047,0.999401279534995,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep7,0.0004142108326815,0.999585789167318,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep8,0.0010859396744608,0.998914060325539,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-1_rep9,0.0002067440743847,0.999793255925615,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep1,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep10,0.0003548511912309,0.999645148808769,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep11,0.00102844423956,0.99897155576044,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep12,0.0008639629390263,0.999136037060974,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep13,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep14,7.81617419886502e-05,0.999921838258011,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep15,0.0004894309687093,0.999510569031291,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep16,0.0003527676677316,0.999647232332268,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep17,0.0010495209502944,0.998950479049705,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep18,0.0004218016643791,0.999578198335621,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep19,0.0008309609889706,0.999169039011029,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep2,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep20,0.0004891024587839,0.999510897541216,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep21,0.0012057108259146,0.998794289174085,MeDeCom,,,3,10
